Brewery_Beer,Type_Names,Type_Counts,Style,Location,Country,Date
Minhas Huber Dempsey Stout,,,Classic Irish-Style Dry Stout,United States - Wisconsin,United States ,5/9/98
Minhas Huber Berghoff Genuine Dark,,,American-Style Dark Lager,United States - Wisconsin,United States ,5/9/98
Minhas Huber Berghoff Original Lager Beer,,,American-Style Lager,United States - Wisconsin,United States ,5/9/98
Minhas Huber Berghoff Hefeweizen,,,South German-Style Hefeweizen/Hefeweissbier,United States - Wisconsin,United States ,5/9/98
Big Buck (Grand Rapids) Stout,,,Classic Irish-Style Dry Stout,United States - Michigan,United States ,5/8/98
Free State (Brewpub) Brinkley's Maibock,,,German-Style Heller Bock/Maibock,United States - Kansas,United States ,5/5/98
Hofbräuhaus München Münchner Kindl Weissbier,,,South German-Style Hefeweizen/Hefeweissbier,Germany - Bayern,Germany ,5/4/98
Hofbräuhaus München Hofbräu München Hofbräu Original,,,Münchner-Style Helles,Germany - Bayern,Germany ,5/4/98
Spoetzl Shiner Kosmos Reserve,,,American-Style Lager,United States - Texas,United States ,4/28/98
Spoetzl Shiner Summer Stock Kölsch Beer,,,German-Style Kölsch/Köln-Style Kölsch,United States - Texas,United States ,4/28/98
Celis Grand Cru,,,Belgian-Style Pale Strong Ale,United States - Texas,United States ,4/28/98
Celis White,,,Belgian Style White (or Wit) / Belgian-Style Wheat,United States - Texas,United States ,4/28/98
Celis Dubbel Ale,,,Belgian-Style Dubbel,United States - Texas,United States ,4/28/98
Saint Arnold Brown Ale,,,English-Style Brown Ale,United States - Texas,United States ,4/28/98
Wisconsin Rainbow Red Ale,,,American-Style Amber/Red Ale,United States - Wisconsin,United States ,4/28/98
Huyghe Delirium Tremens,,,Belgian-Style Pale Strong Ale,Belgium - Oost-Vlaanderen,Belgium ,4/24/98
Orkney Skull Splitter Ale,,,Traditional Strong Scotch Ale,United Kingdom - Scotland,United Kingdom ,4/24/98
Steenberge Gulden Draak,,,Belgian-Style Dark Strong Ale,Belgium - Oost-Vlaanderen,Belgium ,4/24/98
Williams Bros. Fraoch Heather Ale,,,Herb and Spice Beer,United Kingdom - Scotland,United Kingdom ,4/24/98
Bell's Great Lakes Amber Ale,,,American-Style Amber/Red Ale,United States - Michigan,United States ,4/24/98
Nacional (Panamá) Balboa Cerveza Pilsner,,,American-Style Lager,Panamá,Panamá,4/22/98
Nacional (Panamá) Atlas Lager,,,American-Style Lager,Panamá,Panamá,4/22/98
Coors George Killian's Irish Red,,,American-Style Amber Lager,United States - Colorado,United States ,4/22/98
Miller (Milwaukee) Genuine Draft,,,American-Style Lager,United States - Wisconsin,United States ,4/22/98
Tin Whistle Killer Beer Dark Honey Ale,,,Brown Porter,Canada - British Columbia,Canada ,4/22/98
Sinebrychoff Koff Special III,,,German-Style Pilsener,Finland,Finland,4/20/98
Stroh (Detroit) Schlitz,,,American-Style Lager,United States - Michigan,United States ,4/20/98
Weihenstephaner Weihenstephaner Hefe Weissbier,,,South German-Style Hefeweizen/Hefeweissbier,Germany - Bayern,Germany ,4/19/98
Velké Popovice Kozel Premium,,,Bohemian-Style Pilsener,Czech Republic,Czech Republic,4/19/98
Miller (Milwaukee) Lite,,,Light Lager,United States - Wisconsin,United States ,4/17/98
Hair of the Dog Golden Rose,,,Other Belgian-Style Ale,United States - Oregon,United States ,4/13/98
Hair of the Dog Adam,,,Old Ale,United States - Oregon,United States ,4/13/98
St. GeorgenBräu St. Georgen Bräu KellerBier,,,Kellerbier/Zwickelbier,Germany - Bayern,Germany ,4/13/98
Shmaltz He'Brew Genesis Ale,,,American-Style Brown Ale,United States - New York,United States ,4/13/98
Ostankinskij Beer,,,American-Style Lager,Russia - Moskva,Russia ,4/13/98
Wild Onion Paddy Pale Ale,,,American-Style Pale Ale,United States - Illinois,United States ,4/12/98
Morland Old Speckled Hen,,,English-Style (Extra Special) Strong Bitter,United Kingdom - Oxford,United Kingdom ,4/12/98
Capital Maibock,,,German-Style Heller Bock/Maibock,United States - Wisconsin,United States ,4/12/98
Bell's Two-Hearted Ale,,,American-Style Pale Ale,United States - Michigan,United States ,4/12/98
Sprecher Mai Bock,,,German-Style Heller Bock/Maibock,United States - Wisconsin,United States ,4/12/98
Left Hand Sawtooth Ale,,,Ordinary or Special Bitter,United States - Colorado,United States ,4/12/98
Summit Hefe-Weizen,,,South German-Style Hefeweizen/Hefeweissbier,United States - Minnesota,United States ,4/12/98
Rogue Artisan Lager,,,American-Style Lager,United States - Oregon,United States ,4/12/98
De Dolle Arabier,,,Belgian-Style Pale Strong Ale,Belgium - West-Vlaanderen,Belgium ,4/11/98
Frontwaters Port Clinton Porter,,,Robust Porter,United States - Ohio,United States ,4/9/98
Goose Island India Pale Ale,,,English-Style IPA,United States - Illinois,United States ,4/9/98
Bell's Bell's Pale Ale,,,American-Style Pale Ale,United States - Michigan,United States ,4/9/98
Devil Mountain (Cincinnati) 5 Malt Ale,,,American-Style Amber/Red Ale,United States - Ohio,United States ,4/9/98
Two Brothers Brown Ale,,,English-Style Brown Ale,United States - Illinois,United States ,4/9/98
Lindemans Framboise,,,Belgian-Style Fruit Lambic,Belgium - Vlaams Brabant,Belgium ,4/9/98
Van Honsebrouck St. Louis Gueuze,,,Belgian-Style Gueuze Lambic,Belgium - West-Vlaanderen,Belgium ,4/9/98
Boon Pertotale Faro,,,Other Belgian-Style Ale,Belgium - Vlaams Brabant,Belgium ,4/9/98
Corsendonk Monk Brown Ale,,,Belgian-Style Dark Strong Ale,Belgium - Antwerpen,Belgium ,4/9/98
Westmalle Westmalle Trappist Tripel,,,Belgian-Style Tripel,Belgium - Antwerpen,Belgium ,4/9/98
Dubuisson Scaldis / Bush Amber 12%,,,Belgian-Style Pale Strong Ale,Belgium - Hainaut,Belgium ,4/9/98
Duvel Duvel,,,Belgian-Style Pale Strong Ale,Belgium - Antwerpen,Belgium ,4/9/98
Rodenbach Alexander,,,Belgian-Style Flanders/Oud Bruin Ale,Belgium - West-Vlaanderen,Belgium ,4/9/98
Rodenbach Grand Cru,,,Belgian-Style Flanders/Oud Bruin Ale,Belgium - West-Vlaanderen,Belgium ,4/9/98
Achouffe Chouffe-Bok,,,Other Belgian-Style Ale,Belgium - Luxembourg,Belgium ,4/9/98
Liefmans Goudenband 1996,,,Belgian-Style Flanders/Oud Bruin Ale,Belgium - Oost-Vlaanderen,Belgium ,4/9/98
Dupont Saison Vielle Provision,,,French & Belgian-Style Saison,Belgium - Hainaut,Belgium ,4/9/98
Gouden Boom Blanche de Bruges,,,Belgian Style White (or Wit) / Belgian-Style Wheat,Belgium - West-Vlaanderen,Belgium ,4/9/98
Kross #58 Blonde,,,Other Belgian-Style Ale,United States - Vermont,United States ,4/9/98
Granville Island (Kelowna) Brockton Black Lager,,,German-Style Schwarzbier,Canada - British Columbia,Canada ,4/8/98
Big Rock Traditional Ale,,,English-Style Brown Ale,Canada - Alberta,Canada ,4/8/98
Gold Crown Premium Lager,,,American-Style Lager,Canada - Ontario,Canada ,4/8/98
Gold Crown Kings Pilsener,,,Bohemian-Style Pilsener,Canada - Ontario,Canada ,4/8/98
Flatlander's Locomotive Stout,,,Classic Irish-Style Dry Stout,United States - Illinois,United States ,4/7/98
Paulaner Salvator,,,German-Style Strong Doppelbock,Germany - Bayern,Germany ,4/7/98
Heller Schlenkerla Rauchbier Märzen,,,Bamberg-Style Rauchbier,Germany - Bayern,Germany ,4/7/98
Köstritzer Köstritzer Schwarzbier,,,German-Style Schwarzbier,Germany - Thüringen,Germany ,4/7/98
Heineken Dark Lager,,,European-Style Dark/Münchner Dunkel,Netherlands,Netherlands,4/7/98
Tabernash Golden Pale,,,German-Style Pilsener,United States - Colorado,United States ,4/7/98
Warsteiner Premium Pilsener,,,German-Style Pilsener,Germany - Nordrhein-Westfalen,Germany ,4/7/98
Plzeňský Prazdroj Pilsner Urquell,,,Bohemian-Style Pilsener,Czech Republic,Czech Republic,4/7/98
Anchor Steam,,,California Common Beer,United States - California,United States ,4/7/98
Boston Beer Company Samuel Adams Boston Lager,,,German-Style Pilsener,United States - Massachusetts,United States ,4/7/98
Big Bang Space-Aged Lager,,,American-Style Lager,United States - California,United States ,4/7/98
Coors (Memphis) Zima Clear,,,Experimental Beer,United States - Tennessee,United States ,4/7/98
Tabernash Dunkel Weizen,,,South German-Style Dunkel Weizen/Weissbier,United States - Colorado,United States ,4/6/98
Summit Extra Pale Ale,,,Classic English-Style Pale Ale,United States - Minnesota,United States ,4/6/98
Three Floyds Brown Ale,,,English-Style Brown Ale,United States - Indiana,United States ,4/6/98
Golden Prairie Sheffield's Stout,,,Sweet Stout or Cream Stout,United States - Illinois,United States ,4/6/98
Sprecher Black Bavarian Lager,,,German-Style Schwarzbier,United States - Wisconsin,United States ,4/6/98
Golden Prairie Sheffield's Pale Ale,,,American-Style Pale Ale,United States - Illinois,United States ,4/6/98
Two Brothers Two Brothers Prairie Path,,,Gluten Free Beer,United States - Illinois,United States ,4/6/98
Glen Ellyn St. Paddy's Irish Stout,,,Classic Irish-Style Dry Stout,United States - Illinois,United States ,4/5/98
Glen Ellyn Nut Brown,,,English-Style Brown Ale,United States - Illinois,United States ,4/5/98
Glen Ellyn Equinox E.S.B.,,,English-Style (Extra Special) Strong Bitter,United States - Illinois,United States ,4/5/98
Glen Ellyn Black Forest Dunkelweizen,,,South German-Style Dunkel Weizen/Weissbier,United States - Illinois,United States ,4/5/98
Glen Ellyn Red,,,American-Style Amber/Red Ale,United States - Illinois,United States ,4/5/98
Glen Ellyn G.E. Lite,,,Light American Wheat Beer with Yeast,United States - Illinois,United States ,4/5/98
Founders Hill Blacksmith Stout,,,Sweet Stout or Cream Stout,United States - Illinois,United States ,4/5/98
Founders Hill Hidden River Red Ale,,,American-Style Pale Ale,United States - Illinois,United States ,4/5/98
Founders Hill Pierce's Pale Ale,,,American-Style Pale Ale,United States - Illinois,United States ,4/5/98
Founders Hill Scarlett's Raspberry Wheat,,,Garden (Fruit Wheat) Beer,United States - Illinois,United States ,4/5/98
Founders Hill Heritage Wheat,,,Light American Wheat Beer with Yeast,United States - Illinois,United States ,4/5/98
Founders Hill Maibock,,,German-Style Heller Bock/Maibock,United States - Illinois,United States ,4/5/98
Founders Hill Founders Light,,,American-Style Pale Ale,United States - Illinois,United States ,4/5/98
Taylor Dark Satin,,,German-Style Schwarzbier,United States - Illinois,United States ,4/5/98
Taylor Palpitations Porter,,,Brown Porter,United States - Illinois,United States ,4/5/98
Taylor Prime I.P.A.,,,American-Style IPA,United States - Illinois,United States ,4/5/98
Taylor Very Pale Ale,,,American-Style Pale Ale,United States - Illinois,United States ,4/5/98
Taylor Weisen,,,South German-Style Hefeweizen/Hefeweissbier,United States - Illinois,United States ,4/5/98
America's Sweeney Stout,,,Classic Irish-Style Dry Stout,United States - Illinois,United States ,4/5/98
America's Aurora Amber Ale,,,American-Style Pale Ale,United States - Illinois,United States ,4/5/98
America's Honey Wheat Ale,,,Light American Wheat Beer with Yeast,United States - Illinois,United States ,4/5/98
America's Golden Light,,,American-Style Pale Ale,United States - Illinois,United States ,4/5/98
America's Payton Pilsner,,,Bohemian-Style Pilsener,United States - Illinois,United States ,4/5/98
Prairie Rock (Elgin) Triple Nickel Irish Stout,,,Classic Irish-Style Dry Stout,United States - Illinois,United States ,4/4/98
Prairie Rock (Elgin) Honey Brown Ale,,,American-Style Brown Ale,United States - Illinois,United States ,4/4/98
Prairie Rock (Elgin) Rock 'N Red Ale,,,American-Style Amber/Red Ale,United States - Illinois,United States ,4/4/98
Prairie Rock (Elgin) Old Glory American Pale,,,American-Style Pale Ale,United States - Illinois,United States ,4/4/98
Prairie Rock (Elgin) Vanilla Creme Ale,,,Specialty Beer,United States - Illinois,United States ,4/4/98
Prairie Rock (Elgin) Ale,,,American-Style Pale Ale,United States - Illinois,United States ,4/4/98
Prairie Rock (Elgin) Prairie Light,,,Golden or Blonde Ale,United States - Illinois,United States ,4/4/98
Millrose South Barrington Stout,,,Classic Irish-Style Dry Stout,United States - Illinois,United States ,4/4/98
Millrose General's Ale,,,American-Style Pale Ale,United States - Illinois,United States ,4/4/98
Millrose Wheat Honey Ale,,,Specialty Honey Beer,United States - Illinois,United States ,4/4/98
Millrose Dark Star,,,Brown Porter,United States - Illinois,United States ,4/4/98
Millrose Panther Ale,,,American-Style Pale Ale,United States - Illinois,United States ,4/4/98
Millrose Prairie Inn Pilsner,,,Bohemian-Style Pilsener,United States - Illinois,United States ,4/4/98
Millrose Country Ale,,,American-Style Pale Ale,United States - Illinois,United States ,4/4/98
Flatlander's Harvest Amber Ale,,,American-Style Amber/Red Ale,United States - Illinois,United States ,4/4/98
Flatlander's Olde Orchard Ale,,,Garden (Fruit Wheat) Beer,United States - Illinois,United States ,4/4/98
Flatlander's Locomotive Stout,,,Classic Irish-Style Dry Stout,United States - Illinois,United States ,4/4/98
Flatlander's Bockbier,,,Traditional German-Style Bock,United States - Illinois,United States ,4/4/98
Flatlander's Eighty Shilling Ale,,,Scottish-Style Export Ale,United States - Illinois,United States ,4/4/98
Flatlander's Abe's Honest Ale,,,American-Style Pale Ale,United States - Illinois,United States ,4/4/98
Flatlander's Abe's Honest Ale,,,American-Style Pale Ale,United States - Illinois,United States ,4/4/98
Flatlander's Harvest Amber Ale,,,American-Style Amber/Red Ale,United States - Illinois,United States ,4/4/98
Flatlander's Prairie Wheat Beer,,,Light American Wheat Beer with Yeast,United States - Illinois,United States ,4/4/98
Mickey Finn's Main Street Raz,,,Garden (Fruit Wheat) Beer,United States - Illinois,United States ,4/4/98
Mickey Finn's Wee Heavy,,,Traditional Strong Scotch Ale,United States - Illinois,United States ,4/4/98
Mickey Finn's Scapegoat Doppelbock,,,German-Style Strong Doppelbock,United States - Illinois,United States ,4/4/98
Mickey Finn's Five Springs Oatmeal Stout,,,Oatmeal Stout,United States - Illinois,United States ,4/4/98
Mickey Finn's Scapegoat Bock,,,Traditional German-Style Bock,United States - Illinois,United States ,4/4/98
Mickey Finn's St. Pat's Irish Ale,,,American-Style Amber/Red Ale,United States - Illinois,United States ,4/4/98
Mickey Finn's Abana Amber Ale,,,American-Style Amber/Red Ale,United States - Illinois,United States ,4/4/98
Mickey Finn's Wheat Ale,,,Light American Wheat Beer with Yeast,United States - Illinois,United States ,4/4/98
Ommegang Abbey Ale (formerly Abbey Dubbel),,,Belgian-Style Dubbel,United States - New York,United States ,4/3/98
Westmalle Westmalle Trappist Dubbel,,,Belgian-Style Dubbel,Belgium - Antwerpen,Belgium ,4/3/98
Schneider Schneider Weisse Tap1 Meine helle Weisse,,,South German-Style Hefeweizen/Hefeweissbier,Germany - Bayern,Germany ,4/3/98
Kulmbacher Mönchshof Original Pils,,,German-Style Pilsener,Germany - Bayern,Germany ,4/3/98
Burton Bridge Burton Porter,,,Robust Porter,United Kingdom - Staffordshire,United Kingdom ,4/2/98
Lefebvre Saison 1900,,,French & Belgian-Style Saison,Belgium - Brabant Wallon,Belgium ,4/2/98
Victory Hop Devil India Pale Ale,,,American-Style IPA,United States - Pennsylvania,United States ,4/2/98
Victory Festbier,,,German-Style Märzen/Oktoberfest,United States - Pennsylvania,United States ,4/2/98
Victory Brandywine Valley Lager,,,Dortmunder/European-Style Export,United States - Pennsylvania,United States ,4/2/98
Goose Island (Clybourn) Strong Brown Ale,,,Old Ale,United States - Illinois,United States ,4/2/98
Goose Island (Clybourn) Kilgubbin Irish Ale,,,American-Style Amber/Red Ale,United States - Illinois,United States ,4/2/98
O'Grady's St. Brigid's Strong Ale,,,Old Ale,United States - Illinois,United States ,4/1/98
O'Grady's Stockyard Stout,,,Classic Irish-Style Dry Stout,United States - Illinois,United States ,4/1/98
O'Grady's Prohibition Smokehouse Porter,,,Smoke-Flavored Beer,United States - Illinois,United States ,4/1/98
O'Grady's Old St. Pat's Ale,,,American-Style Amber/Red Ale,United States - Illinois,United States ,4/1/98
O'Grady's Blacksmith Bitter Ale,,,(Special) Best Bitter,United States - Illinois,United States ,4/1/98
O'Grady's Chicago Fire,,,American-Style Pale Ale,United States - Illinois,United States ,4/1/98
O'Grady's Haymarket Pilsner,,,American-Style Lager,United States - Illinois,United States ,4/1/98
O'Grady's Magnificent Mild,,,English-Style Pale Mild Ale,United States - Illinois,United States ,4/1/98
Eldridge Pope Thomas Hardy's Ale 1995,,,Old Ale,United Kingdom - Dorset,United Kingdom ,4/1/98
Schneider Schneider Weisse Tap6 Mein Aventinus,,,South German-Style Weizenbock/Weissbock,Germany - Bayern,Germany ,4/1/98
Traquair House Ale,,,Traditional Strong Scotch Ale,United Kingdom - Scotland,United Kingdom ,4/1/98
North Coast Old Rasputin Russian Imperial Stout,,,Imperial Stout,United States - California,United States ,4/1/98
Whitbread Mackeson XXX Stout,,,Sweet Stout or Cream Stout,United Kingdom - Bedford,United Kingdom ,4/1/98
Anchor Porter,,,Robust Porter,United States - California,United States ,4/1/98
Scottish & Newcastle Newcastle Brown Ale,,,English-Style Brown Ale,United Kingdom - Tyne and Wear,United Kingdom ,4/1/98
Sierra Nevada Pale Ale,,,American-Style Pale Ale,United States - California,United States ,4/1/98
Bass Ale,,,English-Style (Extra Special) Strong Bitter,United Kingdom - Staffordshire,United Kingdom ,4/1/98
Ayinger Bräu-Weisse,,,South German-Style Hefeweizen/Hefeweissbier,Germany - Bayern,Germany ,4/1/98
Berliner Kindl Weisse,,,Berliner-Style Weisse (Wheat),Germany - Berlin,Germany ,4/1/98
Diebels Diebels Alt,,,German-Style Brown Ale/Düsseldorf-Style Altbier,Germany - Nordrhein-Westfalen,Germany ,4/1/98
Goose Island (Clybourn) Strong Brown Ale,,,Old Ale,United States - Illinois,United States ,3/31/98
Goose Island (Clybourn) Dublin Stout,,,Classic Irish-Style Dry Stout,United States - Illinois,United States ,3/31/98
Goose Island (Clybourn) Rye Stout,,,American-Style Rye Beer,United States - Illinois,United States ,3/31/98
Goose Island (Clybourn) Porter,,,Robust Porter,United States - Illinois,United States ,3/31/98
Goose Island (Clybourn) Geordie Brown Ale,,,English-Style Brown Ale,United States - Illinois,United States ,3/31/98
Goose Island (Clybourn) Kilgubbin Irish Ale,,,American-Style Amber/Red Ale,United States - Illinois,United States ,3/31/98
Goose Island (Clybourn) Honker's Ale,,,American-Style Pale Ale,United States - Illinois,United States ,3/31/98
Goose Island (Clybourn) Ruby Mild,,,English-Style Pale Mild Ale,United States - Illinois,United States ,3/31/98
Goose Island (Clybourn) Blonde Ale,,,Golden or Blonde Ale,United States - Illinois,United States ,3/31/98
Weinkeller (Berwyn) Dusseldorfer Doppelbock,,,German-Style Strong Doppelbock,United States - Illinois,United States ,3/30/98
Weinkeller (Berwyn) Dublin Stout,,,Classic Irish-Style Dry Stout,United States - Illinois,United States ,3/30/98
Weinkeller (Berwyn) Amber Ale,,,American-Style Amber/Red Ale,United States - Illinois,United States ,3/30/98
Weinkeller (Berwyn) Nut Brown Ale,,,English-Style Brown Ale,United States - Illinois,United States ,3/30/98
Weinkeller (Berwyn) ESB,,,English-Style (Extra Special) Strong Bitter,United States - Illinois,United States ,3/30/98
Weinkeller (Berwyn) Märzen,,,German-Style Märzen/Oktoberfest,United States - Illinois,United States ,3/30/98
Weinkeller (Berwyn) Berliner Weisse,,,Berliner-Style Weisse (Wheat),United States - Illinois,United States ,3/30/98
Weinkeller (Berwyn) Pilsner,,,American-Style Lager,United States - Illinois,United States ,3/30/98
Weinkeller (Berwyn) Wee Heavy,,,Traditional Strong Scotch Ale,United States - Illinois,United States ,3/30/98
Weinkeller (Berwyn) Bavarian Weiss,,,South German-Style Hefeweizen/Hefeweissbier,United States - Illinois,United States ,3/30/98
Weinkeller (Berwyn) Kristall Weiss,,,South German-Style Kristal Weizen/Kristal Weissbier,United States - Illinois,United States ,3/30/98
Empyrean Black Jack Stout,,,Sweet Stout or Cream Stout,United States - Nebraska,United States ,3/28/98
Empyrean Eccentric Ale,,,English-Style Brown Ale,United States - Nebraska,United States ,3/28/98
Empyrean Third Stone Brown,,,English-Style Brown Ale,United States - Nebraska,United States ,3/28/98
Empyrean Luna Sea Amber,,,English-Style (Extra Special) Strong Bitter,United States - Nebraska,United States ,3/28/98
Boulevard Dry Stout,,,Classic Irish-Style Dry Stout,United States - Missouri,United States ,3/28/98
Boulevard Pale Ale,,,Australian- or International-Style Pale Ale,United States - Missouri,United States ,3/28/98
Portland Zig Zag Lager,,,German-Style Pilsener,United States - Oregon,United States ,3/28/98
Crane River Red Top Rye,,,American-Style Rye Beer,United States - Nebraska,United States ,3/28/98
Spilker Wind Chill Spiced Ale (discontinued),,,Herb and Spice Beer,United States - Nebraska,United States ,3/28/98
Spilker Hopluia,,,American-Style Pale Ale,United States - Nebraska,United States ,3/28/98
Upstream (Old Market) Honey-Raspberry Ale,,,Garden (Fruit Wheat) Beer,United States - Nebraska,United States ,3/28/98
Upstream (Old Market) Irish Red,,,American-Style Amber/Red Ale,United States - Nebraska,United States ,3/28/98
Upstream (Old Market) Old Market Stout (discontinued),,,Sweet Stout or Cream Stout,United States - Nebraska,United States ,3/28/98
Upstream (Old Market) Dundee Scotch Ale,,,Traditional Strong Scotch Ale,United States - Nebraska,United States ,3/28/98
Upstream (Old Market) Firehouse ESB (discontinued),,,English-Style (Extra Special) Strong Bitter,United States - Nebraska,United States ,3/28/98
Upstream (Old Market) Railyard Ale (discontinued),,,American-Style Amber/Red Ale,United States - Nebraska,United States ,3/28/98
Upstream (Old Market) Heartland Hefeweizen,,,South German-Style Hefeweizen/Hefeweissbier,United States - Nebraska,United States ,3/28/98
Upstream (Old Market) Gold Coast Blonde Ale,,,Golden or Blonde Ale,United States - Nebraska,United States ,3/28/98
Breckenridge (Omaha) Strong Scotch Ale,,,Traditional Strong Scotch Ale,United States - Nebraska,United States ,3/28/98
Breckenridge (Omaha) Ryan's Irish Red,,,American-Style Amber/Red Ale,United States - Nebraska,United States ,3/28/98
Breckenridge (Omaha) Ryan's Irish Stout,,,Classic Irish-Style Dry Stout,United States - Nebraska,United States ,3/28/98
Breckenridge (Omaha) Raspberry Porter,,,Garden (Fruit) Beer,United States - Nebraska,United States ,3/28/98
Breckenridge (Omaha) Oatmeal Stout,,,Oatmeal Stout,United States - Nebraska,United States ,3/28/98
Breckenridge (Omaha) India Pale Ale,,,American-Style IPA,United States - Nebraska,United States ,3/28/98
Breckenridge (Omaha) Avalanche Amber,,,American-Style Amber/Red Ale,United States - Nebraska,United States ,3/28/98
Breckenridge (Omaha) Mountain Wheat,,,Light American Wheat Beer with Yeast,United States - Nebraska,United States ,3/28/98
Wild River (Cave Junction) Nut Brown Ale,,,English-Style Brown Ale,United States - Oregon,United States ,8/15/92
Wild River (Cave Junction) Dark,,,Robust Porter,United States - Oregon,United States ,8/15/92
Wild River (Cave Junction) ESB,,,English-Style (Extra Special) Strong Bitter,United States - Oregon,United States ,8/15/92
Wild River (Cave Junction) Blackberry,,,Garden (Fruit Wheat) Beer,United States - Oregon,United States ,8/15/92
Wild River (Cave Junction) Light,,,Golden or Blonde Ale,United States - Oregon,United States ,8/15/92
Huyghe Duinen Dubbel,,,Belgian-Style Dubbel,Belgium - Oost-Vlaanderen,Belgium ,9/17/00
Boulevard Bully! Porter,,,Robust Porter,United States - Missouri,United States ,3/23/98
Blitz-Weinhard Hazelnut Stout,,,Specialty Beer,United States - Oregon,United States ,3/23/98
Flagstaff Sasquatch Stout,,,Sweet Stout or Cream Stout,United States - Arizona,United States ,3/3/98
Flagstaff Blackbird Porter,,,Robust Porter,United States - Arizona,United States ,3/3/98
Flagstaff Bubbaganoush Pale Ale,,,American-Style Pale Ale,United States - Arizona,United States ,3/3/98
Flagstaff Agassiz Amber,,,American-Style Amber/Red Ale,United States - Arizona,United States ,3/3/98
Spaten Optimator,,,German-Style Strong Doppelbock,Germany - Bayern,Germany ,
Spaten Oktoberfestbier / Oktoberfest Ur-Märzen,,,German-Style Märzen/Oktoberfest,Germany - Bayern,Germany ,
Paulaner Original Munich Premium Lager,,,Münchner-Style Helles,Germany - Bayern,Germany ,
Gordon Biersch (Palo Alto) Bock,,,Traditional German-Style Bock,United States - California,United States ,
Gordon Biersch (Palo Alto) Märzen,,,German-Style Märzen/Oktoberfest,United States - California,United States ,
Gordon Biersch (Palo Alto) Export,,,Dortmunder/European-Style Export,United States - California,United States ,
Redhook (Seattle) Winterhook Robust Winter Ale 1993,,,Herb and Spice Beer,United States - Washington,United States ,12/18/93
Santa Rosa Wee Heavy,,,Traditional Strong Scotch Ale,United States - California,United States ,12/18/93
Grant's Spiced Ale,,,Herb and Spice Beer,United States - Washington,United States ,12/18/93
Sudwerk Doppelbock,,,German-Style Strong Doppelbock,United States - California,United States ,12/18/93
Spaten Optimator,,,German-Style Strong Doppelbock,Germany - Bayern,Germany ,12/18/93
Big Rock Cold Cock Porter (discontinued),,,Robust Porter,Canada - Alberta,Canada ,12/18/93
Rubicon Blond Barleywine,,,Barley Wine-Style Ale,United States - California,United States ,10/2/93
Spaten Oktoberfestbier / Oktoberfest Ur-Märzen,,,German-Style Märzen/Oktoberfest,Germany - Bayern,Germany ,10/2/93
Moonlight Bombay by Boat IPA,,,American-Style IPA,United States - California,United States ,10/2/93
Redhook (Seattle) ESB,,,English-Style (Extra Special) Strong Bitter,United States - Washington,United States ,10/2/93
Drake's Sir Francis Stout,,,Classic Irish-Style Dry Stout,United States - California,United States ,2/7/93
Big Rock Albino Rhino (discontinued),,,American-Style Pale Ale,Canada - Alberta,Canada ,2/7/93
Etna Export,,,Dortmunder/European-Style Export,United States - California,United States ,2/7/93
Grant's Bert Grant's Scottish Style Ale,,,Scottish-Style Export Ale,United States - Washington,United States ,2/7/93
Lost Coast Downtown Brown,,,American-Style Brown Ale,United States - California,United States ,9/28/92
Whitbread Ale,,,English-Style (Extra Special) Strong Bitter,United Kingdom - Bedford,United Kingdom ,9/28/92
Redhook (Seattle) Wheat Hook,,,Light American Wheat Beer with Yeast,United States - Washington,United States ,9/28/92
Heineken Ireland Murphy's Irish Stout,,,Classic Irish-Style Dry Stout,Ireland,Ireland,9/28/92
Santa Cruz Pacific Porter,,,Robust Porter,United States - California,United States ,9/28/92
Redhook (Seattle) ESB,,,English-Style (Extra Special) Strong Bitter,United States - Washington,United States ,1/25/92
Big Rock Buzzard Breath (discontinued),,,American-Style Pale Ale,Canada - Alberta,Canada ,1/25/92
Grant's Imperial Stout,,,Imperial Stout,United States - Washington,United States ,1/25/92
Sierra Nevada Bigfoot 1991,,,Barley Wine-Style Ale,United States - California,United States ,1/25/92
Grant's India Pale Ale,,,American-Style IPA,United States - Washington,United States ,1/25/92
Drake's Drake's IPA,,,American-Style IPA,United States - California,United States ,1/25/92
Pacific Coast Imperial Stout,,,Imperial Stout,United States - California,United States ,12/12/92
Sudwerk Doppelbock,,,German-Style Strong Doppelbock,United States - California,United States ,12/12/92
Anderson Valley Horn of the Bear Barleywine,,,Barley Wine-Style Ale,United States - California,United States ,12/12/93
Anchor Our Special Ale 1992,,,Herb and Spice Beer,United States - California,United States ,12/12/92
Seabright Red Nose,,,Herb and Spice Beer,United States - California,United States ,12/12/93
Anderson Valley Winter Solstice Seasonal Ale,,,Herb and Spice Beer,United States - California,United States ,12/12/92
Marin Hoppy Holidaze,,,Herb and Spice Beer,United States - California,United States ,12/12/92
Pacific Coast Hammerhead Barleywine 1990,,,Barley Wine-Style Ale,United States - California,United States ,12/12/92
Sierra Nevada Celebration Ale 1992,,,American-Style IPA,United States - California,United States ,12/12/92
Drake's Jolly Roger,,,Barley Wine-Style Ale,United States - California,United States ,12/12/92
Moonlight Santa's Tipple,,,Robust Porter,United States - California,United States ,12/12/92
Sonoma Holiday Wheat Bock,,,Traditional German-Style Bock,United States - California,United States ,12/12/92
North Coast Wintertime Ale 1992,,,English-Style Brown Ale,United States - California,United States ,12/12/92
